2018-04-12 11:15:43,669 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>3</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:43,669 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>3</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:43,669 INFO [parse_xml.py:47]  获取参数：['<SqlQuery><IsPageResult>1</IsPageResult><PageInfo><PageSize>20</PageSize><CurrentPage>3</CurrentPage><RowCount>0</RowCount><PageCount>0</PageCount><OrderBy /></PageInfo><QueryTable><TableName>BMP_MANUFACTURERS</TableName><AliasName /></QueryTable><OrderString /><Conditions /></SqlQuery>']
2018-04-12 11:15:44,419 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:44,419 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:44,419 INFO [parse_xml.py:22]  解析参数文件: F:\study\interface\data\result.xml
2018-04-12 11:15:44,421 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:44,421 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:44,421 INFO [parse_xml.py:60]  parse xml get total:65
2018-04-12 11:15:44,423 INFO [query.py:45]  测试第 3 页
2018-04-12 11:15:44,423 INFO [query.py:45]  测试第 3 页
2018-04-12 11:15:44,423 INFO [query.py:45]  测试第 3 页
2018-04-12 11:15:44,424 INFO [test_manufacturer.py:47]  id_database_list: [183, 245, 246, 247, 250, 251, 252, 253, 254, 258, 259, 260, 263, 264, 265, 266, 267, 268, 269, 270]
2018-04-12 11:15:44,424 INFO [test_manufacturer.py:47]  id_database_list: [183, 245, 246, 247, 250, 251, 252, 253, 254, 258, 259, 260, 263, 264, 265, 266, 267, 268, 269, 270]
2018-04-12 11:15:44,424 INFO [test_manufacturer.py:47]  id_database_list: [183, 245, 246, 247, 250, 251, 252, 253, 254, 258, 259, 260, 263, 264, 265, 266, 267, 268, 269, 270]
